,STATE,POP,CODE
0,United States,328239523,
1,Northeast,55982803,
2,Midwest,68329004,
3,South,125580448,
4,West,78347268,
5,Alabama,4903185,AL
6,Alaska,731545,AK
7,Arizona,7278717,AZ
8,Arkansas,3017804,AR
9,California,39512223,CA
10,Colorado,5758736,CO
11,Connecticut,3565287,CT
12,Delaware,973764,DE
13,District of Columbia,705749,DC
14,Florida,21477737,FL
15,Georgia,10617423,GA
16,Hawaii,1415872,HI
17,Idaho,1787065,ID
18,Illinois,12671821,IL
19,Indiana,6732219,IN
20,Iowa,3155070,IA
21,Kansas,2913314,KS
22,Kentucky,4467673,KY
23,Louisiana,4648794,LA
24,Maine,1344212,ME
25,Maryland,6045680,MD
26,Massachusetts,6892503,MA
27,Michigan,9986857,MI
28,Minnesota,5639632,MN
29,Mississippi,2976149,MS
30,Missouri,6137428,MO
31,Montana,1068778,MT
32,Nebraska,1934408,NE
33,Nevada,3080156,NV
34,New Hampshire,1359711,NH
35,New Jersey,8882190,NJ
36,New Mexico,2096829,NM
37,New York,19453561,NY
38,North Carolina,10488084,NC
39,North Dakota,762062,ND
40,Ohio,11689100,OH
41,Oklahoma,3956971,OK
42,Oregon,4217737,OR
43,Pennsylvania,12801989,PA
44,Rhode Island,1059361,RI
45,South Carolina,5148714,SC
46,South Dakota,884659,SD
47,Tennessee,6829174,TN
48,Texas,28995881,TX
49,Utah,3205958,UT
50,Vermont,623989,VT
51,Virginia,8535519,VA
52,Washington,7614893,WA
53,West Virginia,1792147,WV
54,Wisconsin,5822434,WI
55,Wyoming,578759,WY